"Epoch","Stage"
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,3
338,3
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,1
364,1
365,1
366,2
367,2
368,2
369,0
370,0
371,0
372,0
373,2
374,0
375,1
376,1
377,1
378,1
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,3
401,3
402,3
403,3
404,3
405,2
406,2
407,3
408,2
409,2
410,2
411,2
412,2
413,2
414,0
415,0
416,0
417,1
418,1
419,2
420,2
421,2
422,2
423,3
424,2
425,2
426,3
427,3
428,2
429,3
430,3
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,3
440,3
441,3
442,3
443,3
444,3
445,3
446,3
447,2
448,2
449,2
450,2
451,2
452,5
453,5
454,5
455,5
456,5
457,5
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,0
467,1
468,0
469,0
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,3
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,2
499,2
500,2
501,2
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,5
512,2
513,2
514,2
515,5
516,5
517,5
518,5
519,5
520,2
521,5
522,5
523,5
524,5
525,2
526,5
527,5
528,5
529,5
530,5
531,5
532,5
533,5
534,5
535,2
536,0
537,2
538,0
539,0
540,1
541,1
542,2
543,2
544,2
545,2
546,2
547,2
548,2
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,3
563,3
564,2
565,0
566,2
567,0
568,0
569,0
570,0
571,0
572,2
573,2
574,2
575,2
576,2
577,2
578,2
579,2
580,2
581,2
582,3
583,3
584,3
585,3
586,3
587,3
588,2
589,2
590,2
591,3
592,2
593,3
594,2
595,3
596,3
597,3
598,3
599,3
600,3
601,3
602,3
603,3
604,3
605,0
606,2
607,2
608,2
609,2
610,2
611,2
612,2
613,2
614,2
615,0
616,2
617,0
618,1
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,3
628,2
629,3
630,3
631,3
632,3
633,3
634,3
635,2
636,2
637,3
638,3
639,3
640,3
641,3
642,3
643,3
644,3
645,3
646,3
647,3
648,3
649,3
650,3
651,3
652,3
653,3
654,3
655,3
656,3
657,3
658,3
659,3
660,3
661,3
662,3
663,3
664,3
665,2
666,3
667,3
668,2
669,3
670,3
671,2
672,3
673,3
674,3
675,3
676,3
677,3
678,3
679,3
680,3
681,2
682,2
683,3
684,2
685,3
686,2
687,5
688,5
689,5
690,5
691,5
692,5
693,5
694,5
695,5
696,5
697,5
698,5
699,5
700,5
701,5
702,5
703,5
704,5
705,5
706,5
707,5
708,5
709,5
710,2
711,2
712,5
713,2
714,2
715,2
716,2
717,2
718,2
719,2
720,2
721,2
722,2
723,0
724,0
725,0
726,0
727,1
728,1
729,2
730,2
731,2
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,1
771,0
772,0
773,0
774,1
775,1
776,2
777,2
778,2
779,2
780,2
781,2
782,2
783,2
784,2
785,2
786,2
787,2
788,2
789,2
790,2
791,0
792,2
793,2
794,2
795,2
796,2
797,2
798,2
799,2
800,2
801,2
802,2
803,3
804,2
805,0
806,0
807,0
808,0
809,0
810,1
811,0
812,1
813,0
814,1
815,1
816,2
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,2
828,2
829,2
830,2
831,2
832,2
833,2
834,2
835,2
836,2
837,2
838,2
839,2
840,2
841,2
842,2
843,2
844,2
845,2
846,2
847,2
848,2
849,2
850,2
851,2
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,1
865,0
866,1
867,2
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,1
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,2
888,2
889,2
890,2
891,2
892,2
893,5
894,5
895,5
896,5
897,5
898,5
899,5
900,5
901,5
902,5
903,5
904,5
905,5
906,5
907,5
908,5
909,5
910,5
911,5
912,5
913,5
914,5
915,5
916,5
917,5
918,5
919,5
920,5
921,5
922,5
923,5
924,5
925,5
926,5
927,5
928,5
929,5
930,2
931,2
932,2
933,0
934,2
935,2
936,2
937,0
938,0
939,0
940,0
941,0
942,0
943,1
944,2
945,2
946,2
947,2
948,2
949,2
950,2
951,2
952,2
953,2
954,2
955,2
956,2
957,2
958,2
959,3
960,3
961,3
962,3
963,3
964,3
965,3
966,3
967,3
968,3
969,3
970,3
971,3
972,3
973,3
974,3
975,3
976,3
977,3
978,3
979,3
980,3
981,3
982,3
983,3
984,3
985,3
986,3
987,3
988,3
989,3
990,3
991,3
992,3
993,3
994,3
995,3
996,3
997,3
998,3
999,3
1000,3
1001,3
1002,3
1003,3
1004,3
1005,3
1006,3
1007,3
1008,3
1009,3
1010,3
1011,3
1012,3
1013,3
1014,3
1015,3
1016,3
1017,3
1018,3
1019,3
1020,0
1021,2
1022,2
1023,2
1024,2
1025,2
1026,2
1027,2
1028,2
1029,2
1030,2
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
