Epoch,
394,N
395,N
396,N
397,N
398,N
399,N
400,N
401,N
402,N
403,N
404,N
405,N
406,N
407,N
408,N
409,N
410,N
411,N
412,N
413,N
414,W
415,W
416,W
417,N
418,N
419,N
420,N
421,N
422,N
423,N
424,N
425,N
426,N
427,N
428,N
429,N
430,N
431,N
432,N
433,N
434,N
435,N
436,N
437,N
438,N
439,N
440,N
441,N
442,N
443,N
444,N
445,N
446,N
447,N
448,N
449,N
450,N
451,N
452,R
453,R
454,R
455,R
456,R
457,R
458,N
459,N
460,N
461,N
462,N
463,N
464,N
465,N
466,W
467,N
468,W
469,W
470,N
471,N
472,N
473,N
474,N
475,N
476,N
477,N
478,N
479,N
480,N
481,N
482,N
483,N
484,N
485,N
486,N
487,N
488,N
489,N
490,N
491,N
492,N
493,N
494,N
495,N
496,N
497,N
498,N
499,N
500,N
501,N
502,N
503,N
504,N
505,N
506,N
507,N
508,N
509,N
510,N
511,R
512,N
513,N
514,N
515,R
516,R
517,R
518,R
519,R
520,N
521,R
522,R
523,R
524,R
525,N
526,R
527,R
528,R
529,R
530,R
531,R
532,R
533,R
534,R
535,N
536,W
537,N
538,W
539,W
540,N
541,N
542,N
543,N
544,N
545,N
546,N
547,N
548,N
549,N
550,N
551,N
552,N
553,N
554,N
555,N
556,N
557,N
558,N
559,N
560,N
561,N
562,N
563,N
564,N
565,W
566,N
567,W
568,W
569,W
570,W
571,W
572,N
573,N
574,N
575,N
576,N
577,N
578,N
579,N
580,N
581,N
582,N
583,N
584,N
585,N
586,N
587,N
588,N
589,N
590,N
591,N
592,N
593,N
594,N
595,N
596,N
597,N
598,N
599,N
600,N
601,N
602,N
603,N
604,N
605,W
606,N
607,N
608,N
609,N
610,N
611,N
612,N
613,N
614,N
615,W
616,N
617,W
618,N
619,N
620,N
621,N
622,N
623,N
624,N
625,N
626,N
627,N
628,N
629,N
630,N
631,N
632,N
633,N
634,N
635,N
636,N
637,N
638,N
639,N
640,N
641,N
642,N
643,N
644,N
645,N
646,N
647,N
648,N
649,N
650,N
651,N
652,N
653,N
654,N
655,N
656,N
657,N
658,N
659,N
660,N
661,N
662,N
663,N
664,N
665,N
666,N
667,N
668,N
669,N
670,N
671,N
672,N
673,N
674,N
675,N
676,N
677,N
678,N
679,N
680,N
681,N
682,N
683,N
684,N
685,N
686,N
687,R
688,R
689,R
690,R
691,R
692,R
693,R
694,R
695,R
696,R
697,R
698,R
699,R
700,R
701,R
702,R
703,R
704,R
705,R
706,R
707,R
708,R
709,R
710,N
711,N
712,R
713,N
714,N
715,N
716,N
717,N
718,N
719,N
720,N
721,N
722,N
723,W
724,W
725,W
726,W
727,N
728,N
729,N
730,N
731,N
732,W
733,W
734,W
735,W
736,W
737,W
738,W
739,W
740,W
741,W
742,W
743,W
744,W
745,W
746,W
747,W
748,W
749,W
750,W
751,W
752,W
753,W
754,W
755,W
756,W
757,W
758,W
759,W
760,W
761,W
762,W
763,W
764,W
765,W
766,W
767,W
768,W
769,W
770,N
771,W
772,W
773,W
774,N
775,N
776,N
777,N
778,N
779,N
780,N
781,N
782,N
783,N
784,N
785,N
786,N
787,N
788,N
789,N
790,N
791,W
792,N
793,N
794,N
795,N
796,N
797,N
798,N
799,N
800,N
801,N
802,N
803,N
804,N
805,W
806,W
807,W
808,W
809,W
810,N
811,W
812,N
813,W
814,N
815,N
816,N
817,W
818,W
819,W
820,W
821,W
822,W
823,W
824,W
825,W
826,W
827,N
828,N
829,N
830,N
831,N
832,N
833,N
834,N
835,N
836,N
837,N
838,N
839,N
840,N
841,N
842,N
843,N
844,N
845,N
846,N
847,N
848,N
849,N
850,N
851,N
852,W
853,W
854,W
855,W
856,W
857,W
858,W
859,W
860,W
861,W
862,W
863,W
864,N
865,W
866,N
867,N
868,W
869,W
870,W
871,W
872,W
873,W
874,W
875,W
876,W
877,W
878,W
879,N
880,N
881,N
882,N
883,N
884,N
885,N
886,N
887,N
888,N
889,N
890,N
891,N
892,N
893,R
894,R
895,R
896,R
897,R
898,R
899,R
900,R
901,R
902,R
903,R
904,R
905,R
906,R
907,R
908,R
909,R
910,R
911,R
912,R
913,R
914,R
915,R
916,R
917,R
918,R
919,R
920,R
921,R
922,R
923,R
924,R
925,R
926,R
927,R
928,R
929,R
930,N
931,N
932,N
933,W
934,N
935,N
936,N
937,W
938,W
939,W
940,W
941,W
942,W
943,N
944,N
945,N
946,N
947,N
948,N
949,N
950,N
951,N
952,N
953,N
954,N
955,N
956,N
957,N
958,N
959,N
960,N
961,N
962,N
963,N
964,N
965,N
966,N
967,N
968,N
969,N
970,N
971,N
972,N
973,N
974,N
975,N
976,N
977,N
978,N
979,N
980,N
981,N
982,N
983,N
984,N
985,N
986,N
987,N
988,N
989,N
990,N
991,N
992,N
993,N
994,N
995,N
996,N
997,N
998,N
999,N
1000,N
1001,N
1002,N
1003,N
1004,N
1005,N
1006,N
1007,N
1008,N
1009,N
1010,N
1011,N
1012,N
1013,N
1014,N
1015,N
1016,N
1017,N
1018,N
1019,N
1020,W
1021,N
1022,N
1023,N
1024,N
1025,N
1026,N
1027,N
1028,N
1029,N
1030,N
1031,W
1032,W
1033,W
1034,W
1035,W
1036,W
1037,W
1038,W
1039,W
1040,W
1041,W
1042,W
1043,W
1044,W
1045,W
1046,W
1047,W
1048,W
1049,W
