Epoch,
394,N
395,N
396,N
397,N
398,N
399,N
400,N
401,N
402,N
403,N
404,N
405,N
406,N
407,N
408,N
409,N
410,N
411,N
412,N
413,N
414,N
415,N
416,N
417,N
418,N
419,N
420,N
421,N
422,N
423,W
424,W
425,W
426,N
427,N
428,N
429,N
430,N
431,N
432,N
433,N
434,N
435,N
436,R
437,R
438,R
439,R
440,R
441,R
442,R
443,R
444,R
445,R
446,W
447,R
448,R
449,R
450,R
451,R
452,W
453,W
454,W
455,W
456,W
457,W
458,W
459,N
460,N
461,N
462,N
463,N
464,N
465,N
466,N
467,N
468,N
469,N
470,N
471,N
472,N
473,N
474,W
475,W
476,W
477,W
478,W
479,N
480,N
481,N
482,N
483,N
484,N
485,N
486,N
487,N
488,N
489,N
490,N
491,N
492,N
493,N
494,N
495,N
496,N
497,N
498,N
499,N
500,N
501,N
502,N
503,N
504,N
505,N
506,N
507,N
508,N
509,N
510,N
511,N
512,N
513,N
514,N
515,N
516,N
517,N
518,N
519,N
520,N
521,N
522,N
523,N
524,N
525,N
526,N
527,N
528,N
529,N
530,N
531,N
532,N
533,N
534,N
535,N
536,N
537,N
538,N
539,N
540,N
541,N
542,N
543,N
544,N
545,N
546,N
547,N
548,N
549,N
550,N
551,N
552,N
553,N
554,N
555,N
556,N
557,N
558,N
559,N
560,N
561,N
562,N
563,W
564,W
565,N
566,N
567,N
568,N
569,N
570,N
571,N
572,N
573,N
574,N
575,N
576,R
577,R
578,R
579,R
580,R
581,R
582,R
583,R
584,R
585,R
586,R
587,R
588,W
589,R
590,R
591,R
592,R
593,R
594,W
595,R
596,R
597,R
598,R
599,W
600,R
601,W
602,W
603,W
604,W
605,W
606,W
607,W
608,W
609,W
610,W
611,N
612,N
613,N
614,N
615,N
616,N
617,N
618,N
619,N
620,N
621,N
622,N
623,N
624,N
625,N
626,W
627,N
628,N
629,N
630,N
631,N
632,W
633,W
634,W
635,W
636,W
637,W
638,N
639,N
640,N
641,N
642,N
643,N
644,N
645,N
646,N
647,N
648,N
649,N
650,N
651,N
652,N
653,N
654,N
655,N
656,N
657,N
658,N
659,N
660,N
661,N
662,N
663,N
664,N
665,N
666,N
667,N
668,N
669,N
670,N
671,N
672,N
673,N
674,N
675,N
676,N
677,N
678,N
679,N
680,N
681,N
682,N
683,N
684,N
685,N
686,N
687,N
688,N
689,N
690,N
691,N
692,N
693,N
694,N
695,N
696,N
697,N
698,N
699,N
700,N
701,N
702,N
703,N
704,N
705,N
706,N
707,N
708,N
709,N
710,N
711,N
712,N
713,N
714,N
715,N
716,N
717,N
718,N
719,N
720,N
721,N
722,N
723,N
724,N
725,N
726,N
727,N
728,N
729,N
730,R
731,R
732,R
733,R
734,R
735,R
736,R
737,R
738,W
739,W
740,W
741,W
742,W
743,W
744,N
745,N
746,N
747,N
748,N
749,W
750,W
751,N
752,R
753,W
754,N
755,R
756,R
757,R
758,W
759,R
760,W
761,W
762,W
763,N
764,N
765,N
766,N
767,R
768,R
769,W
770,R
771,R
772,W
773,W
774,W
775,W
776,W
777,W
778,W
779,W
780,W
781,W
782,W
783,W
784,W
785,W
786,W
787,W
788,W
789,W
790,W
791,W
792,W
793,W
794,W
795,W
796,W
797,W
798,W
799,W
800,W
801,W
802,W
803,W
804,W
805,W
806,W
807,W
808,W
809,W
810,W
811,W
812,W
813,W
814,W
815,W
816,W
817,W
818,W
819,W
820,W
821,W
822,W
823,W
824,W
825,W
826,W
827,W
828,W
829,W
830,W
831,W
832,W
833,W
834,W
835,W
836,W
837,W
838,W
839,W
840,W
841,W
842,W
843,W
844,W
845,W
846,W
847,W
848,W
849,W
850,W
851,W
852,W
853,W
854,W
855,W
856,W
857,W
858,W
859,W
860,W
861,W
862,W
863,W
864,W
865,W
866,W
867,W
868,W
869,W
870,W
871,W
872,W
873,W
874,W
875,W
